timestamp,elapsed_s,co2_1,co2_2
2025-09-20T04:18:03,216.975,1614.0,964.0
2025-09-20T04:18:07,221.221,1559.0,964.0
2025-09-20T04:18:11,225.342,1512.0,964.0
2025-09-20T04:18:15,229.490,1468.0,964.0
2025-09-20T04:18:19,233.530,1425.0,958.0
2025-09-20T04:18:24,237.873,1380.0,958.0
2025-09-20T04:18:28,241.931,1353.0,958.0
2025-09-20T04:18:32,245.978,1331.0,958.0
2025-09-20T04:18:36,250.198,1302.0,958.0
2025-09-20T04:18:40,254.332,1282.0,958.0
2025-09-20T04:18:44,258.574,1265.0,953.0
2025-09-20T04:18:49,262.883,1254.0,953.0
2025-09-20T04:18:53,267.231,1232.0,953.0
2025-09-20T04:18:57,271.302,1211.0,953.0
2025-09-20T04:19:01,275.385,1203.0,953.0
2025-09-20T04:19:05,279.550,1194.0,953.0
2025-09-20T04:19:10,283.822,1179.0,953.0
2025-09-20T04:19:14,287.886,1179.0,953.0
2025-09-20T04:19:18,292.266,1170.0,953.0
2025-09-20T04:19:23,296.657,1160.0,953.0
2025-09-20T04:19:27,300.755,1160.0,953.0
2025-09-20T04:19:31,304.820,1160.0,953.0
2025-09-20T04:19:35,308.946,1150.0,953.0
2025-09-20T04:19:39,313.011,1144.0,953.0
2025-09-20T04:19:43,317.322,1144.0,953.0
2025-09-20T04:19:47,321.342,1144.0,948.0
2025-09-20T04:19:51,325.469,1137.0,948.0
2025-09-20T04:19:56,329.823,1137.0,948.0
2025-09-20T04:20:00,334.102,1137.0,948.0
2025-09-20T04:20:04,338.373,1131.0,948.0
2025-09-20T04:20:08,342.560,1131.0,948.0
2025-09-20T04:20:13,346.624,1131.0,948.0
2025-09-20T04:20:17,350.981,1128.0,947.0
2025-09-20T04:20:21,355.367,1120.0,947.0
2025-09-20T04:20:25,359.551,1031.5,1036.5
2025-09-20T04:20:30,363.671,1031.5,1036.5
2025-09-20T04:20:34,367.978,1031.5,1036.5
2025-09-20T04:20:38,372.254,1024.5,1036.5
2025-09-20T04:20:42,376.518,1024.5,1036.5
2025-09-20T04:20:47,380.807,1024.5,1036.5
2025-09-20T04:20:51,384.806,1024.5,1036.5
2025-09-20T04:20:55,389.037,1024.5,1036.5
2025-09-20T04:20:59,393.117,1024.5,1036.5
2025-09-20T04:21:03,397.303,1024.5,1036.5
2025-09-20T04:21:08,401.670,1024.5,1036.5
2025-09-20T04:21:12,405.725,1024.5,1036.5
2025-09-20T04:21:16,409.812,1024.5,1036.5
2025-09-20T04:21:20,413.830,1024.5,1036.5
2025-09-20T04:21:24,417.947,1024.5,1036.5
2025-09-20T04:21:28,422.100,1024.5,1036.5
2025-09-20T04:21:32,426.361,1024.5,1036.5
2025-09-20T04:21:36,430.459,1019.5,1036.5
2025-09-20T04:21:41,434.676,1019.5,1036.5
2025-09-20T04:21:45,438.921,1019.5,1036.5
2025-09-20T04:21:49,443.109,1019.5,1036.5
2025-09-20T04:21:53,447.447,1019.5,1036.5
